modality,model,accuracy,macro_f1,balanced_accuracy
symbolic,LogReg (baseline),0.64,0.632,0.634
symbolic,LogReg balanced,0.644,0.639,0.64
symbolic,LogReg balanced C=2,0.635,0.63,0.632
symbolic,RandomForest,0.637,0.63,0.632
symbolic,HistGradientBoosting,0.631,0.624,0.627
symbolic,LogReg tuned (nested CV),0.639,0.632,0.634
symbolic,HistGB tuned (nested CV),0.642,0.636,0.638
lyrics,LogReg word 1-2gram (baseline),0.667,0.659,0.661
lyrics,LogReg balanced,0.668,0.662,0.663
lyrics,LinearSVC word+char,0.678,0.671,0.672
lyrics,ComplementNB word,0.67,0.657,0.661
lyrics,LinearSVC tuned (nested CV),0.697,0.69,0.692
audio,RandomForest balanced (baseline),0.64,0.395,0.443
audio,RandomForest balanced_subsample,0.64,0.41,0.449
audio,HistGradientBoosting,0.648,0.438,0.464
audio,"LogReg balanced (scaled, top-80)",0.558,0.484,0.488
audio,RandomForest top-80 features,0.648,0.423,0.458
audio,Regression-derived quadrant,0.648,0.483,0.49
audio,RandomForest + SMOTE,0.614,0.494,0.493
audio,HistGB + SMOTE (scaled),0.631,0.471,0.479
audio,Regression-derived + tuned thresholds,0.647,0.472,0.487
fusion,Lyrics only,0.692,0.677,0.678
fusion,Audio only,0.648,0.625,0.629
fusion,Fused (audio + lyrics),0.752,0.738,0.738
fusion,Fused + SVD(300),0.746,0.73,0.731
fusion,Weighted late fusion (nested CV),0.758,0.743,0.744
transformer,LinearSVC reference (official split),0.672,0.665,0.665
transformer,DistilBERT fine-tuned (3 epochs),0.724,0.716,0.715
llm,gpt-4.1-mini (zero-shot),0.716,0.712,0.716
llm,gpt-4.1-mini (few-shot),0.706,0.697,0.703
llm,gpt-5.5 (zero-shot),0.773,0.764,0.77
llm,gpt-5.5 (few-shot),0.763,0.751,0.76
